idhh	idperson	idmother	idfather	idpartner	idorighh	idorigperson	xhh_s	xhh	dag	dgn	dec	dwt	dms	dhh	ddi	dur	deh	dct	dcz	les	loc	lfo	lcs	lindi	lindi01	yem	yse	yag	ytn	yds	bsa_s	boa_s	bed_s	tscee_s	tscer_s	ttn_s	ttb01_s	ttb02_s	ttb_s	tin_s	tva_s	arf	aec	sel_s	spl	splpf	ses	ses01	ses02	ils_head	ils_earns	ils_origy	ils_tax	ils_sicee	ils_sicse	ils_sicer	ils_pen	ils_benmt	ils_bennt	ils_benki	ils_ben	ils_dispy	ils_dispy_pf	ils_dispyki	ils_taxind	ils_sic	ils_bch	ils_bsa	ils_bsu	ils_bdi	ils_bun	ils_bag	ils_dispyx	ils_dispyx_pf	ils_con	ils_con_pf	ils_coicop01	ils_coicop02	ils_coicop03	ils_coicop04	ils_coicop05	ils_coicop06	ils_coicop07	ils_coicop08	ils_coicop09	ils_coicop10	ils_coicop11	ils_coicop12	il_exp_vat	tu_household_dv_HeadID	tu_household_dv_IsDependentChild	tu_household_dv_IsLoneParent	tu_household_dv_IsPartner
3	301	0	0	0	3	301	1329,89	1221,16	62	1	0	140,26	5	1	1	1	3	101	1	8	-1	-1	0	0	0	0	0	0	0	84,64	0	84	0	0	0	0	0	0	0	0	114,74	3	3	0	145,1	131,8	2,65	3	1,73	1	0	0	0	0	0	0	0	84	0	0	84	84	-30,74	84	114,74	0	0	84	0	0	0	0	84	-30,74	1329,89	1215,16	308,08	3,8	101,05	79,41	74,33	88,79	116,73	7,66	24,41	0	155,4	2,13	717,1	301	0	0	0
3	302	0	301	0	3	302	0	0	40	1	0	140,26	1	0	0	1	5	101	1	2	7	1	0	2	2,42	0	1329,32	0	2116,75	946,26	0	0	0	0	0	0	1329,32	0	1329,32	305,25	0	0	0	0	145,1	131,8	0	0	0	0	1329,32	1329,32	305,25	0	0	0	0	0	0	0	0	1024,07	1024,07	1024,07	0	0	0	0	0	0	0	0	1024,07	1024,07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0
3	303	0	301	0	3	303	0	0	32	0	0	140,26	1	0	0	1	5	101	1	3	2	1	1	10	12,09	624,01	0	0	0	440,12	0	0	0	31,2	62,4	0	0	624,01	592,81	121,12	0	0	0	0	145,1	131,8	0	0	0	0	624,01	624,01	121,12	31,2	0	62,4	0	0	0	0	0	471,69	471,69	471,69	0	93,6	0	0	0	0	0	0	471,69	471,69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0
4	401	0	0	0	4	401	427,45	414,48	79	0	0	53,69	5	1	0	1	4	101	1	4	-1	-1	0	0	0	0	0	0	0	266,02	165	114	0	0	0	0	0	0	0	0	39,33	1	2	1	145,1	131,8	0,8	1	1	1	0	0	0	0	0	0	0	279	0	0	279	279	239,67	279	39,33	0	0	279	0	0	0	0	279	239,67	427,45	388,12	96,17	1,25	40,14	25,84	24,18	35,5	41,04	2,5	7,94	0	52,97	0,69	245,84	401	0	0	0
5	501	0	0	0	5	501	737,21	710,88	22	1	0	116,33	1	1	0	1	3	101	1	3	5	1	0	4	4,84	536,39	0	0	0	382,93	0	0	0	26,82	53,64	0	0	536,39	509,57	100,31	66,38	1	2	0	145,1	131,8	1,1	1	1	1	536,39	536,39	100,31	26,82	0	53,64	0	0	0	0	0	409,26	342,89	409,26	66,38	80,46	0	0	0	0	0	0	409,26	342,89	737,21	670,83	163,05	2,26	59,78	47,27	44,24	60,58	73,34	4,56	14,53	0	81,43	1,26	414,85	501	0	0	0
6	601	0	0	602	6	601	1789,38	1671,24	44	1	0	278,7	2	1	0	1	5	101	1	2	2	1	0	8	9,67	0	697,57	0	2168,64	512,12	0	0	0	0	0	0	697,57	0	697,57	147,31	155,56	1	2	0	145,1	131,8	4,4	5	2,24	1	697,57	697,57	147,31	0	0	0	0	0	0	0	0	550,26	394,7	550,26	155,56	0	0	0	0	0	0	0	550,26	394,7	1789,38	1633,83	460,83	4,64	142,53	97,13	90,92	134,48	164,61	9,37	29,85	0	206,92	2,6	972,24	601	0	0	0
6	602	0	0	601	6	602	0	0	42	0	0	278,7	2	0	0	1	5	101	1	2	2	1	0	8	9,67	0	2030,85	0	3426,76	1428,36	0	0	0	0	0	0	2030,85	0	2030,85	480,63	0	0	0	0	145,1	131,8	0	0	0	0	2030,85	2030,85	480,63	0	0	0	0	0	0	0	0	1550,22	1550,22	1550,22	0	0	0	0	0	0	0	0	1550,22	1550,22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601	0	0	1
6	603	602	601	0	6	603	0	0	16	0	3	278,7	1	0	0	1	1	101	1	6	-1	-1	0	0	0	0	0	0	0	80,62	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601	1	0	0
6	604	602	601	0	6	604	0	0	14	0	3	278,7	1	0	0	1	1	101	1	6	-1	-1	0	0	0	0	0	0	0	80,62	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601	1	0	0
6	605	602	601	0	6	605	0	0	12	0	2	278,7	1	0	0	1	0	101	1	6	-1	-1	0	0	0	0	0	0	0	80,62	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601	1	0	0
7	701	0	0	702	7	701	448,59	403,82	71	1	0	111,27	2	1	0	1	2	101	1	2	6	0	0	1	1,21	0	0	148,12	0	516,65	276	114	0	0	0	0	123,12	0	123,12	6,06	37,49	1	1	1	145,1	131,8	1,6	2	1,41	1	148,12	148,12	6,06	0	0	0	0	390	0	0	390	532,06	494,57	532,06	37,49	0	0	390	0	0	0	0	532,06	494,57	448,59	411,1	98,46	1,25	32,25	25,81	24,15	33,53	37,19	2,5	7,94	0	53,37	0,69	234,29	701	0	0	0
7	702	0	0	701	7	702	0	0	67	0	0	111,27	2	0	0	1	0	101	1	1	9	0	0	1	1,21	0	0	0	0	84,64	0	114	0	0	0	0	0	0	0	0	0	0	0	1	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	114	0	0	114	114	114	114	0	0	0	114	0	0	0	0	114	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	701	0	0	1
8	801	0	0	0	8	801	70,14	124,74	93	0	0	103,52	5	1	1	1	2	101	1	8	-1	-1	0	0	0	0	0	0	0	604,6	466	84	0	0	0	0	0	0	0	0	11,66	1	1	1	145,1	131,8	2,2	3	1,73	1	0	0	0	0	0	0	0	550	0	0	550	550	538,34	550	11,66	0	0	550	0	0	0	0	550	538,34	70,14	58,48	29,4	0,37	9,05	7,89	7,39	10,22	13,19	0,76	2,41	0	17,03	0,2	72,9	801	0	1	0
8	802	0	0	0	8	802	0	0	22	0	0	103,52	1	0	0	1	3	101	1	7	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	801	0	0	0
8	803	801	0	0	8	803	0	0	0	1	0	103,52	1	0	0	1	0	101	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	801	1	0	0
9	901	0	0	902	9	901	946,82	945,35	33	1	0	103,52	2	1	0	1	2	101	1	3	7	1	0	4	4,84	821,18	0	0	0	568,86	0	0	0	41,06	82,12	0	0	821,18	780,12	167,95	88,59	3	2	0	145,1	131,8	5,95	7	2,65	1	821,18	821,18	167,95	41,06	0	82,12	0	0	0	0	0	612,18	523,59	612,18	88,59	123,18	0	0	0	0	0	0	612,18	523,59	946,82	858,23	272,99	2,53	62,35	52,86	49,47	59,51	99,71	5,1	16,25	0	142,89	1,43	553,69	901	0	0	0
9	902	0	0	901	9	902	0	0	33	0	0	103,52	2	0	0	1	2	101	1	7	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	0	0	1
9	903	902	901	0	9	903	0	0	16	1	3	103,52	1	0	0	1	1	101	1	6	-1	-1	0	0	0	0	0	0	0	80,62	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	1	0	0
9	904	902	901	0	9	904	0	0	14	0	0	103,52	1	0	0	1	2	101	1	6	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	1	0	0
9	905	902	901	0	9	905	0	0	12	1	2	103,52	1	0	0	1	0	101	1	6	-1	-1	0	0	0	0	0	0	0	80,62	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	1	0	0
9	906	902	901	0	9	906	0	0	4	0	0	103,52	1	0	0	1	0	101	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	1	0	0
9	907	0	0	0	9	907	0	0	17	1	3	103,52	1	0	0	1	1	101	1	6	-1	-1	0	0	0	0	0	0	0	80,62	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	1	0	0
10	1001	0	0	1002	10	1001	1009,76	947,06	57	1	0	46,89	2	1	0	1	5	101	1	5	-1	-1	0	0	0	0	0	0	0	84,64	0	84	0	0	0	0	0	0	0	0	88,5	2	3	0	145,1	131,8	2,9	3	1,73	1	0	0	0	0	0	0	0	84	0	0	84	84	-4,5	84	88,5	0	0	84	0	0	0	0	84	-4,5	1009,76	921,26	231,55	3,18	77,01	66,7	62,44	71,93	85,55	6,44	20,52	0	110,36	1,78	553,14	1001	0	0	0
10	1002	0	0	1001	10	1002	0	0	55	0	0	46,89	2	0	0	1	5	101	1	3	2	1	1	10	12,09	1156,8	0	0	0	787,95	0	0	0	57,84	115,68	0	0	1156,8	1098,96	247,66	0	0	0	0	145,1	131,8	0	0	0	0	1156,8	1156,8	247,66	57,84	0	115,68	0	0	0	0	0	851,3	851,3	851,3	0	173,52	0	0	0	0	0	0	851,3	851,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	0	0	1
10	1003	1002	1001	0	10	1003	0	0	20	0	5	46,89	1	0	0	1	3	101	1	6	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	0	0	0
11	1101	0	0	0	11	1101	2062,12	1913,72	40	1	0	200,79	1	1	0	1	3	101	1	2	5	1	0	4	4,84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175,9	3	3	0	145,1	131,8	4,75	6	2,45	1	0	0	0	0	0	0	0	0	0	0	0	0	-175,9	0	175,9	0	0	0	0	0	0	0	0	-175,9	2062,12	1886,22	535,1	5,37	147,59	112,49	105,29	131,08	174,71	10,86	34,59	0	260,99	3,01	1099,37	1101	0	1	0
11	1102	0	0	0	11	1102	0	0	38	0	0	200,79	1	0	0	1	3	101	1	3	8	0	0	12	14,51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101	0	0	0
11	1103	0	0	0	11	1103	0	0	35	0	0	200,79	1	0	0	1	5	101	1	3	2	1	1	10	12,09	3050,21	0	0	0	2024,06	0	0	0	152,51	305,02	0	0	3050,21	2897,7	697,34	0	0	0	0	145,1	131,8	0	0	0	0	3050,21	3050,21	697,34	152,51	0	305,02	0	0	0	0	0	2200,36	2200,36	2200,36	0	457,53	0	0	0	0	0	0	2200,36	2200,36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101	0	0	0
11	1104	0	0	0	11	1104	0	0	17	0	3	200,79	1	0	0	1	1	101	1	6	-1	-1	0	0	0	0	0	0	0	80,62	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101	1	0	0
11	1105	0	1101	0	11	1105	0	0	12	0	2	200,79	1	0	0	1	0	101	1	6	-1	-1	0	0	0	0	0	0	0	80,62	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101	1	0	0
11	1106	0	1101	0	11	1106	0	0	1	0	0	200,79	1	0	0	1	0	101	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101	1	0	0
12	1201	0	0	0	12	1201	605,59	577,34	63	0	0	200,79	5	1	0	1	5	101	1	4	-1	-1	0	0	0	0	0	0	0	84,64	0	84	0	0	0	0	0	0	0	0	53,44	2	3	0	145,1	131,8	2,45	3	1,73	1	0	0	0	0	0	0	0	84	0	0	84	84	30,56	84	53,44	0	0	84	0	0	0	0	84	30,56	605,59	552,15	141,54	1,69	38,58	35,51	33,24	50,22	62,16	3,43	10,91	0	78,99	0,94	334	1201	0	1	0
12	1202	1201	0	0	12	1202	0	0	37	0	0	200,79	1	0	0	1	5	101	1	2	4	1	0	9	10,88	0	772,43	0	1308,93	563,57	0	0	0	0	0	0	772,43	0	772,43	166,03	0	0	0	0	145,1	131,8	0	0	0	0	772,43	772,43	166,03	0	0	0	0	0	0	0	0	606,41	606,41	606,41	0	0	0	0	0	0	0	0	606,41	606,41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1201	0	0	0
12	1203	1201	0	0	12	1203	0	0	12	1	2	200,79	1	0	0	1	0	101	1	6	-1	-1	0	0	0	0	0	0	0	80,62	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1201	1	0	0
13	1301	0	0	0	13	1301	2616,35	2394,8	73	1	0	84,24	5	1	0	1	2	101	1	4	-1	-1	0	0	0	0	0	0	0	84,64	0	84	0	0	0	0	0	0	0	0	220,63	3	3	0	145,1	131,8	5,55	6	2,45	1	0	0	0	0	0	0	0	84	0	0	84	84	-136,63	84	220,63	0	0	84	0	0	0	0	84	-136,63	2616,35	2395,72	677,78	6,82	171,84	142,97	133,85	160,29	232,35	13,8	43,96	0	318,46	3,82	1378,95	1301	0	0	0
13	1302	0	1301	0	13	1302	0	0	49	0	0	84,24	1	0	0	1	3	101	1	3	5	1	0	5	6,05	1520,15	0	0	0	1025,16	0	0	0	76,01	152,01	0	0	1520,15	1444,14	333,95	0	0	0	0	145,1	131,8	0	0	0	0	1520,15	1520,15	333,95	76,01	0	152,01	0	0	0	0	0	1110,19	1110,19	1110,19	0	228,02	0	0	0	0	0	0	1110,19	1110,19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301	0	0	0
13	1303	0	1301	0	13	1303	0	0	45	0	0	84,24	1	0	0	1	3	101	1	3	8	1	0	2	2,42	1499,28	0	0	0	1011,54	0	0	0	74,96	149,93	0	0	1499,28	1424,32	329	0	0	0	0	145,1	131,8	0	0	0	0	1499,28	1499,28	329	74,96	0	149,93	0	0	0	0	0	1095,32	1095,32	1095,32	0	224,89	0	0	0	0	0	0	1095,32	1095,32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301	0	0	0
13	1304	0	1301	0	13	1304	0	0	42	0	0	84,24	1	0	0	1	3	101	1	3	8	1	0	2	2,42	990,01	0	0	0	679,07	0	0	0	49,5	99	0	0	990,01	940,51	208,04	0	0	0	0	145,1	131,8	0	0	0	0	990,01	990,01	208,04	49,5	0	99	0	0	0	0	0	732,47	732,47	732,47	0	148,5	0	0	0	0	0	0	732,47	732,47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301	0	0	0
13	1305	0	1301	0	13	1305	0	0	35	0	0	84,24	1	0	0	1	4	101	1	5	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301	0	0	0
13	1306	0	0	0	13	1306	0	0	23	0	0	84,24	1	0	0	1	3	101	1	5	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301	0	0	0
14	1401	0	0	1402	14	1401	1854,23	1709,45	31	1	0	59,97	2	1	1	1	5	101	1	3	1	1	0	2	2,42	1800,11	0	0	0	1207,93	0	0	0	90,01	180,01	0	0	1800,11	1710,1	400,44	162,33	2	2	0	145,1	131,8	2,2	3	1,73	1	1800,11	1800,11	400,44	90,01	0	180,01	0	0	0	0	0	1309,66	1147,33	1309,66	162,33	270,02	0	0	0	0	0	0	1309,66	1147,33	1854,23	1691,9	413,36	5,13	157,11	106,87	100,04	119,39	169,05	10,31	32,86	0	229,33	2,86	1014,56	1401	0	0	0
14	1402	0	0	1401	14	1402	0	0	31	0	0	59,97	2	0	0	1	5	101	1	3	2	1	0	8	9,67	816,74	0	0	0	565,95	0	0	0	40,84	81,67	0	0	816,74	775,9	166,89	0	0	0	0	145,1	131,8	0	0	0	0	816,74	816,74	166,89	40,84	0	81,67	0	0	0	0	0	609,01	609,01	609,01	0	122,51	0	0	0	0	0	0	609,01	609,01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1401	0	0	1
14	1403	1402	1401	0	14	1403	0	0	1	0	0	59,97	1	0	0	1	0	101	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1401	1	0	0
15	1501	0	0	0	15	1501	1156,28	1074,18	51	0	0	69,59	3	1	0	1	2	101	1	2	7	1	0	2	2,42	0	313,97	0	563,34	270,78	0	0	0	0	0	0	313,97	0	313,97	51,41	100,75	2	2	0	145,1	131,8	4,2	4	2	1	313,97	313,97	51,41	0	0	0	0	0	0	0	0	262,56	161,81	262,56	100,75	0	0	0	0	0	0	0	262,56	161,81	1156,28	1055,53	268,26	3,14	83,1	65,87	61,67	71,25	103,56	6,36	20,28	0	158,54	1,76	629,69	1501	0	0	0
15	1502	1501	0	0	15	1502	0	0	25	0	0	69,59	1	0	0	1	5	101	1	2	5	1	0	4	4,84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1501	0	0	0
15	1503	1501	0	0	15	1503	0	0	24	1	5	69,59	1	0	0	1	3	101	1	3	7	0	0	2	2,42	373,57	0	0	0	342,29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	373,57	373,57	0	0	0	0	0	0	0	0	0	373,57	373,57	373,57	0	0	0	0	0	0	0	0	373,57	373,57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1501	0	0	0
15	1504	1501	0	0	15	1504	0	0	23	1	5	69,59	1	0	0	1	3	101	1	3	7	0	0	2	2,42	705,01	0	0	0	645,98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145,1	131,8	0	0	0	0	705,01	705,01	0	0	0	0	0	0	0	0	0	705,01	705,01	705,01	0	0	0	0	0	0	0	0	705,01	705,01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1501	0	0	0
