idhh	idperson	idmother	idfather	idpartner	idorighh	idorigperson	xhh_s	xhh	dag	dgn	dec	dwt	dms	dhh	ddi	deh	dct	dcz	dur	les	loc	lfo	lcs	lindi	lindi01	yem	yse	yag	ytn	yds	bsa_s	boa_s	bed_s	tscee_s	tscer_s	ttn_s	ttb01_s	ttb02_s	ttb_s	tin_s	tva_s	arf	aec	sel_s	spl	splpf	ses	ses01	ses02	ils_head	ils_earns	ils_origy	ils_tax	ils_sicee	ils_sicse	ils_sicer	ils_pen	ils_benmt	ils_bennt	ils_benki	ils_ben	ils_dispy	ils_dispy_pf	ils_dispyki	ils_taxind	ils_sic	ils_bch	ils_bsa	ils_bsu	ils_bdi	ils_bun	ils_bag	ils_dispyx	ils_dispyx_pf	ils_con	ils_con_pf	ils_coicop01	ils_coicop02	ils_coicop03	ils_coicop04	ils_coicop05	ils_coicop06	ils_coicop07	ils_coicop08	ils_coicop09	ils_coicop10	ils_coicop11	ils_coicop12	il_exp_vat	tu_household_dv_HeadID	tu_household_dv_IsDependentChild	tu_household_dv_IsLoneParent	tu_household_dv_IsPartner
3	301	0	0	0	3	301	1009,89	1009,89	62	1	0	140,26	5	1	1	3	101	1	1	8	-1	-1	0	0	0	0	0	0	0	70	0	70	0	0	0	0	0	0	0	0	93,57	3	3	0	120	109	2,65	3	1,73	1	0	0	0	0	0	0	0	70	0	0	70	70	-23,57	70	93,57	0	0	70	0	0	0	0	70	-23,57	1009,89	916,32	261,15	3,14	79,28	64,94	58,32	69,66	91,58	6,01	19,15	0	131,73	1,67	584,82	301	0	0	0
3	302	0	301	0	3	302	0	0	40	1	0	140,26	1	0	0	5	101	1	1	2	7	1	0	2	2	0	1007,29	0	1750,54	782,55	0	0	0	0	0	0	1007,29	0	1007,29	224,74	0	0	0	0	120	109	0	0	0	0	1007,29	1007,29	224,74	0	0	0	0	0	0	0	0	782,55	782,55	782,55	0	0	0	0	0	0	0	0	782,55	782,55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0
3	303	0	301	0	3	303	0	0	32	0	0	140,26	1	0	0	5	101	1	1	3	2	1	1	10	10	472,84	0	0	0	363,98	0	0	0	23,64	47,28	0	0	472,84	449,2	85,22	0	0	0	0	120	109	0	0	0	0	472,84	472,84	85,22	23,64	0	47,28	0	0	0	0	0	363,98	363,98	363,98	0	70,93	0	0	0	0	0	0	363,98	363,98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0
4	401	0	0	0	4	401	342,77	342,77	79	0	0	53,69	5	1	0	4	101	1	1	4	-1	-1	0	0	0	0	0	0	0	220	150	70	0	0	0	0	0	0	0	0	32,04	1	2	1	120	109	0,8	1	1	1	0	0	0	0	0	0	0	220	0	0	220	220	187,96	220	32,04	0	0	220	0	0	0	0	220	187,96	342,77	310,73	81,52	1,03	31,49	21,13	18,97	27,85	32,2	1,96	6,23	0	44,9	0,54	200,24	401	0	0	0
5	501	0	0	0	5	501	587,89	587,89	22	1	0	116,33	1	1	0	3	101	1	1	3	5	1	0	4	4	406,45	0	0	0	316,68	0	0	0	20,32	40,65	0	0	406,45	386,13	69,45	54,04	1	2	0	120	109	1,1	1	1	1	406,45	406,45	69,45	20,32	0	40,65	0	0	0	0	0	316,68	262,64	316,68	54,04	60,97	0	0	0	0	0	0	316,68	262,64	587,89	533,85	138,21	1,87	46,9	38,66	34,71	47,53	57,54	3,58	11,4	0	69,03	0,99	337,72	501	0	0	0
6	601	0	0	602	6	601	1382,08	1382,1	44	1	0	278,7	2	1	0	5	101	1	1	2	2	1	0	8	8	0	528,58	0	1793,45	423,52	0	0	0	0	0	0	528,58	0	528,58	105,06	126,94	1	2	0	120	109	4,4	5	2,24	1	528,58	528,58	105,06	0	0	0	0	0	0	0	0	423,52	296,58	423,52	126,94	0	0	0	0	0	0	0	423,52	296,58	1382,08	1255,14	390,63	3,84	111,82	79,43	71,33	105,51	129,15	7,35	23,42	0	175,4	2,04	793,38	601	0	0	0
6	602	0	0	601	6	602	0	0	42	0	0	278,7	2	0	0	5	101	1	1	2	2	1	0	8	8	0	1538,87	0	2833,91	1181,24	0	0	0	0	0	0	1538,87	0	1538,87	357,63	0	0	0	0	120	109	0	0	0	0	1538,87	1538,87	357,63	0	0	0	0	0	0	0	0	1181,24	1181,24	1181,24	0	0	0	0	0	0	0	0	1181,24	1181,24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601	0	0	1
6	603	602	601	0	6	603	0	0	16	0	3	278,7	1	0	0	1	101	1	1	6	-1	-1	0	0	0	0	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601	1	0	0
6	604	602	601	0	6	604	0	0	14	0	3	278,7	1	0	0	1	101	1	1	6	-1	-1	0	0	0	0	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601	1	0	0
6	605	602	601	0	6	605	0	0	12	0	2	278,7	1	0	0	0	101	1	1	6	-1	-1	0	0	0	0	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601	1	0	0
7	701	0	0	702	7	701	336,46	333,96	71	1	0	111,27	2	1	0	2	101	1	1	2	6	0	0	1	1	0	0	112,24	0	427,27	250	70	0	0	0	0	87,24	0	87,24	2,47	30,59	1	1	1	120	109	1,6	2	1,41	1	112,24	112,24	2,47	0	0	0	0	320	0	0	320	429,77	399,17	429,77	30,59	0	0	320	0	0	0	0	429,77	399,17	336,46	305,86	83,46	1,03	25,3	21,11	18,95	26,31	29,18	1,96	6,23	0	45,24	0,54	191,2	701	0	0	0
7	702	0	0	701	7	702	0	0	67	0	0	111,27	2	0	0	0	101	1	1	1	9	0	0	1	1	0	0	0	0	70	0	70	0	0	0	0	0	0	0	0	0	0	0	1	120	109	0	0	0	0	0	0	0	0	0	0	0	70	0	0	70	70	70	70	0	0	0	70	0	0	0	0	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	701	0	0	1
8	801	0	0	0	8	801	103,16	103,16	93	0	0	103,52	5	1	1	2	101	1	1	8	-1	-1	0	0	0	0	0	0	0	500	430	70	0	0	0	0	0	0	0	0	9,52	1	1	1	120	109	2,2	3	1,73	1	0	0	0	0	0	0	0	500	0	0	500	500	490,48	500	9,52	0	0	500	0	0	0	0	500	490,48	103,16	93,64	24,92	0,31	7,1	6,45	5,8	8,02	10,35	0,6	1,89	0	14,44	0,16	59,47	801	0	1	0
8	802	0	0	0	8	802	0	0	22	0	0	103,52	1	0	0	3	101	1	1	7	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	801	0	0	0
8	803	801	0	0	8	803	0	0	0	1	0	103,52	1	0	0	0	101	1	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	801	1	0	0
9	901	0	0	902	9	901	781,79	781,8	33	1	0	103,52	2	1	0	2	101	1	1	3	7	1	0	4	4	622,25	0	0	0	470,44	0	0	0	31,11	62,23	0	0	622,25	591,14	120,7	72,47	3	2	0	120	109	5,95	7	2,65	1	622,25	622,25	120,7	31,11	0	62,23	0	0	0	0	0	470,44	397,97	470,44	72,47	93,34	0	0	0	0	0	0	470,44	397,97	781,79	709,32	231,41	2,09	48,92	43,23	38,81	46,69	78,23	4	12,75	0	121,12	1,12	452,93	901	0	0	0
9	902	0	0	901	9	902	0	0	33	0	0	103,52	2	0	0	2	101	1	1	7	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	0	0	1
9	903	902	901	0	9	903	0	0	16	1	3	103,52	1	0	0	1	101	1	1	6	-1	-1	0	0	0	0	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	1	0	0
9	904	902	901	0	9	904	0	0	14	0	0	103,52	1	0	0	2	101	1	1	6	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	1	0	0
9	905	902	901	0	9	905	0	0	12	1	2	103,52	1	0	0	0	101	1	1	6	-1	-1	0	0	0	0	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	1	0	0
9	906	902	901	0	9	906	0	0	4	0	0	103,52	1	0	0	0	101	1	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	1	0	0
9	907	0	0	0	9	907	0	0	17	1	3	103,52	1	0	0	1	101	1	1	6	-1	-1	0	0	0	0	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	1	0	0
10	1001	0	0	1002	10	1001	783,21	783,21	57	1	0	46,89	2	1	0	5	101	1	1	5	-1	-1	0	0	0	0	0	0	0	70	0	70	0	0	0	0	0	0	0	0	72,13	2	3	0	120	109	2,9	3	1,73	1	0	0	0	0	0	0	0	70	0	0	70	70	-2,13	70	72,13	0	0	70	0	0	0	0	70	-2,13	783,21	711,08	196,28	2,63	60,42	54,55	48,99	56,43	67,12	5,05	16,1	0	93,55	1,4	450,81	1001	0	0	0
10	1002	0	0	1001	10	1002	0	0	55	0	0	46,89	2	0	0	5	101	1	1	3	2	1	1	10	10	876,56	0	0	0	651,63	0	0	0	43,83	87,66	0	0	876,56	832,73	181,1	0	0	0	0	120	109	0	0	0	0	876,56	876,56	181,1	43,83	0	87,66	0	0	0	0	0	651,63	651,63	651,63	0	131,48	0	0	0	0	0	0	651,63	651,63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	0	0	1
10	1003	1002	1001	0	10	1003	0	0	20	0	5	46,89	1	0	0	3	101	1	1	6	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	0	0	0
11	1101	0	0	0	11	1101	1582,62	1582,63	40	1	0	200,79	1	1	0	3	101	1	1	2	5	1	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143,74	3	3	0	120	109	4,75	6	2,45	1	0	0	0	0	0	0	0	0	0	0	0	0	-143,74	0	143,74	0	0	0	0	0	0	0	0	-143,74	1582,62	1438,88	453,59	4,44	115,79	91,99	82,61	102,84	137,07	8,52	27,14	0	221,23	2,36	898,39	1101	0	1	0
11	1102	0	0	0	11	1102	0	0	38	0	0	200,79	1	0	0	3	101	1	1	3	8	0	0	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101	0	0	0
11	1103	0	0	0	11	1103	0	0	35	0	0	200,79	1	0	0	5	101	1	1	3	2	1	1	10	10	2311,29	0	0	0	1673,88	0	0	0	115,56	231,13	0	0	2311,29	2195,73	521,85	0	0	0	0	120	109	0	0	0	0	2311,29	2311,29	521,85	115,56	0	231,13	0	0	0	0	0	1673,88	1673,88	1673,88	0	346,69	0	0	0	0	0	0	1673,88	1673,88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101	0	0	0
11	1104	0	0	0	11	1104	0	0	17	0	3	200,79	1	0	0	1	101	1	1	6	-1	-1	0	0	0	0	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101	1	0	0
11	1105	0	1101	0	11	1105	0	0	12	0	2	200,79	1	0	0	0	101	1	1	6	-1	-1	0	0	0	0	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101	1	0	0
11	1106	0	1101	0	11	1106	0	0	1	0	0	200,79	1	0	0	0	101	1	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101	1	0	0
12	1201	0	0	0	12	1201	477,45	477,46	63	0	0	200,79	5	1	0	5	101	1	1	4	-1	-1	0	0	0	0	0	0	0	70	0	70	0	0	0	0	0	0	0	0	43,62	2	3	0	120	109	2,45	3	1,73	1	0	0	0	0	0	0	0	70	0	0	70	70	26,38	70	43,62	0	0	70	0	0	0	0	70	26,38	477,45	433,83	119,98	1,4	30,27	29,04	26,08	39,4	48,77	2,69	8,56	0	66,96	0,74	272,61	1201	0	1	0
12	1202	1201	0	0	12	1202	0	0	37	0	0	200,79	1	0	0	5	101	1	1	2	4	1	0	9	9	0	585,31	0	1082,48	466,07	0	0	0	0	0	0	585,31	0	585,31	119,24	0	0	0	0	120	109	0	0	0	0	585,31	585,31	119,24	0	0	0	0	0	0	0	0	466,07	466,07	466,07	0	0	0	0	0	0	0	0	466,07	466,07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1201	0	0	0
12	1203	1201	0	0	12	1203	0	0	12	1	2	200,79	1	0	0	0	101	1	1	6	-1	-1	0	0	0	0	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	66,67	0	0	0	66,67	0	0	66,67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1201	1	0	0
13	1301	0	0	0	13	1301	1980,48	1980,48	73	1	0	84,24	5	1	0	2	101	1	1	4	-1	-1	0	0	0	0	0	0	0	70	0	70	0	0	0	0	0	0	0	0	180,26	3	3	0	120	109	5,55	6	2,45	1	0	0	0	0	0	0	0	70	0	0	70	70	-110,26	70	180,26	0	0	70	0	0	0	0	70	-110,26	1980,48	1800,22	574,54	5,64	134,82	116,92	105,01	125,76	182,29	10,83	34,49	0	269,95	3	1126,64	1301	0	0	0
13	1302	0	1301	0	13	1302	0	0	49	0	0	84,24	1	0	0	3	101	1	1	3	5	1	0	5	5	1151,89	0	0	0	847,8	0	0	0	57,59	115,19	0	0	1151,89	1094,3	246,49	0	0	0	0	120	109	0	0	0	0	1151,89	1151,89	246,49	57,59	0	115,19	0	0	0	0	0	847,8	847,8	847,8	0	172,78	0	0	0	0	0	0	847,8	847,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301	0	0	0
13	1303	0	1301	0	13	1303	0	0	45	0	0	84,24	1	0	0	3	101	1	1	3	8	1	0	2	2	1136,08	0	0	0	836,54	0	0	0	56,8	113,61	0	0	1136,08	1079,28	242,74	0	0	0	0	120	109	0	0	0	0	1136,08	1136,08	242,74	56,8	0	113,61	0	0	0	0	0	836,54	836,54	836,54	0	170,41	0	0	0	0	0	0	836,54	836,54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301	0	0	0
13	1304	0	1301	0	13	1304	0	0	42	0	0	84,24	1	0	0	3	101	1	1	3	8	1	0	2	2	750,18	0	0	0	561,59	0	0	0	37,51	75,02	0	0	750,18	712,67	151,08	0	0	0	0	120	109	0	0	0	0	750,18	750,18	151,08	37,51	0	75,02	0	0	0	0	0	561,59	561,59	561,59	0	112,53	0	0	0	0	0	0	561,59	561,59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301	0	0	0
13	1305	0	1301	0	13	1305	0	0	35	0	0	84,24	1	0	0	4	101	1	1	5	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301	0	0	0
13	1306	0	0	0	13	1306	0	0	23	0	0	84,24	1	0	0	3	101	1	1	5	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301	0	0	0
14	1401	0	0	1402	14	1401	1413,7	1413,7	31	1	0	59,97	2	1	1	5	101	1	1	3	1	1	0	2	2	1364,03	0	0	0	998,95	0	0	0	68,2	136,4	0	0	1364,03	1295,83	296,87	132,31	2	2	0	120	109	2,2	3	1,73	1	1364,03	1364,03	296,87	68,2	0	136,4	0	0	0	0	0	998,95	866,65	998,95	132,31	204,6	0	0	0	0	0	0	998,95	866,65	1413,7	1281,39	350,39	4,24	123,26	87,4	78,49	93,67	132,63	8,09	25,78	0	194,4	2,24	826,91	1401	0	0	0
14	1402	0	0	1401	14	1402	0	0	31	0	0	59,97	2	0	0	5	101	1	1	3	2	1	0	8	8	618,88	0	0	0	468,04	0	0	0	30,94	61,89	0	0	618,88	587,94	119,9	0	0	0	0	120	109	0	0	0	0	618,88	618,88	119,9	30,94	0	61,89	0	0	0	0	0	468,04	468,04	468,04	0	92,83	0	0	0	0	0	0	468,04	468,04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1401	0	0	1
14	1403	1402	1401	0	14	1403	0	0	1	0	0	59,97	1	0	0	0	101	1	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1401	1	0	0
15	1501	0	0	0	15	1501	869,93	888,34	51	0	0	69,59	3	1	0	2	101	1	1	2	7	1	0	2	2	0	237,91	0	465,88	223,93	0	0	0	0	0	0	237,91	0	237,91	32,39	82,28	2	2	0	120	109	4,2	4	2	1	237,91	237,91	32,39	0	0	0	0	0	0	0	0	205,52	123,23	205,52	82,28	0	0	0	0	0	0	0	205,52	123,23	869,93	787,64	227,4	2,6	65,2	53,87	48,38	55,9	81,25	4,99	15,91	0	134,39	1,38	514,27	1501	0	0	0
15	1502	1501	0	0	15	1502	0	0	25	0	0	69,59	1	0	0	5	101	1	1	2	5	1	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1501	0	0	0
15	1503	1501	0	0	15	1503	0	0	24	1	5	69,59	1	0	0	3	101	1	1	3	7	0	0	2	2	283,07	0	0	0	283,07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	283,07	283,07	0	0	0	0	0	0	0	0	0	283,07	283,07	283,07	0	0	0	0	0	0	0	0	283,07	283,07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1501	0	0	0
15	1504	1501	0	0	15	1504	0	0	23	1	5	69,59	1	0	0	3	101	1	1	3	7	0	0	2	2	534,22	0	0	0	534,22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	109	0	0	0	0	534,22	534,22	0	0	0	0	0	0	0	0	0	534,22	534,22	534,22	0	0	0	0	0	0	0	0	534,22	534,22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1501	0	0	0
16	1601	0	0	1602	16	1601	978,53	978,53	56	1	0	77,32	2	1	0	5	101	1	1	3	2	1	1	10	10	372,78	0	0	0	292,69	0	0	0	18,64	37,28	0	0	372,78	354,14	61,45	89,54	3	1	0	120	109	3,6	4	2	1	372,78	372,78	61,45	18,64	0	37,28	0	0	0	0	0	292,69	203,15	292,69	89,54	55,92	0	0	0	0	0	0	292,69	203,15	978,53	888,98	267,03	2,82	74,57	58,2	52,28	78,27	86,76	5,39	17,17	0	132,22	1,49	559,65	1601	0	0	0
